#Reps,MilaLexiconPointer,Undotted,POS
39290,16910,של,preposition
38252,3382,את,preposition
28006,17434,על,preposition
24367,9105,כי,conjunction
21042,7044,הוא,pronoun
17503,21544,לא,negation
12100,9169,כול,quantifier
11643,25295,היה,copula
10360,14265,ישראל,properName
9976,9102,בית,noun
9287,8098,עם,preposition
7545,18802,אמר,verb
7201,24750,גם,conjunction
6945,20910,ראש,noun
6909,1085,ממשלה,noun
6475,15812,זה,pronoun
6165,26553,ב,preposition
6146,26552,ל,preposition
6033,17667,מדינה,noun
5814,15165,שר,participle:noun
5684,28017,כך,pronoun
5613,10767,איש,noun
5233,25303,הוא,copula
5227,3796,דבר,noun
5194,16710,שנה,noun
4956,17945,בין,preposition
4922,7181,יד,noun
4645,9475,יום,noun
4573,9253,"צה""ל",properName
4009,25314,אינו,copula
3989,20589,בן,noun
3934,6829,יישוב,noun
3883,2082,משרד,noun
3811,5778,ארץ,noun
3777,15099,כנסת,properName
3768,198,גוש,noun
3668,17845,אם,conjunction
3568,11804,הגיע,verb
3564,10156,שרון,properName
3552,21194,זאת,pronoun
3479,4192,כוח,noun
3454,21221,פלסטיני,adjective
3417,13211,נגד,preposition
3414,10835,זו,pronoun
3399,21626,היום,adverb
3360,17447,כדי,conjunction
3336,9668,משטרה,noun
3335,19640,עד,preposition
3285,7789,תוכנית,noun
3270,1150,תושב,noun
3262,17085,רב,participle:noun
3256,8000,קטיף,noun
3243,2387,מקום,noun
3242,16270,ביטחון,noun
3223,24827,יש,existential
3210,16792,חייל,noun
3126,10405,ים,noun
3084,23975,ועדה,noun
3073,16681,הומר,verb
3038,20292,חוק,noun
3002,6847,או,conjunction
2945,17085,רב,participle:adjective
2937,10418,מן,preposition
2934,12749,הילך,participle:noun
2895,3896,שעה,noun
2859,14224,לפני,preposition
2833,1473,אל,preposition
2830,5842,אחד,numeral
2822,879,ירושלים,properName
2774,25538,אין,existential
2730,14000,מועצה,noun
2719,25612,יכול,modal
2670,25521,רק,adverb
2641,2926,משפחה,noun
2591,770,ארגון,noun
